Original_Order,handle,Progress
38965,86590,N
38967,86592,N
38968,86593,N
38969,86594,N
38970,86595,N
38971,86596,N
38972,86597,N
38975,86600,N
38976,86601,N
38977,86602,N
38978,86603,N
38979,86604,N
38980,86605,N
38981,86606,N
38984,86609,N
38985,86610,N
38986,86611,N
38987,86612,N
38989,86614,N
38990,86615,N
38991,86616,N
38992,86617,N
38993,86618,N
38995,86620,N
38996,86621,N
38997,86622,N
38998,86623,N
38999,86624,N
39000,86625,N
39001,86626,N
39002,86627,N
39003,86628,N
39005,86630,N
39006,86631,N
39008,86633,N
39010,86635,N
39011,86636,N
39014,86639,N
39016,86641,N
39017,86642,N
39018,86643,N
39019,86644,N
39021,86646,N
39022,86647,N
39024,86649,N
39026,86651,N
39027,86652,N
39028,86653,N
39029,86654,N
39032,86657,N
39034,86659,N
39035,86660,N
39036,86661,N
39038,86663,N
39039,86664,N
39040,86665,N
39041,86666,N
39043,86668,N
39044,86669,N
39045,86670,N
39046,86671,N
39048,86673,N
39049,86674,N
39050,86675,N
39053,86678,N
39054,86679,N
39055,86680,N
39058,86683,N
39060,86685,N
39061,86686,N
39062,86687,N
39064,86689,N
39065,86690,N
39067,86692,N
39068,86693,N
39069,86694,N
39070,86695,N
39071,86696,N
39072,86697,N
39074,86699,N
39075,86700,N
39076,86701,N
39077,86702,N
39078,86703,N
39079,86704,N
39080,86705,N
39082,86707,N
39084,86709,N
39085,86710,N
39086,86711,N
39087,86712,N
39088,86713,N
39089,86714,N
39091,86716,N
39092,86717,N
39095,86720,N
39096,86721,N
39097,86722,N
39098,86723,N
39099,86724,N
39100,86725,N
39101,86726,N
39102,86727,N
39103,86728,N
39104,86729,N
39105,86730,N
39106,86731,N
39107,86732,N
39108,86733,N
39109,86734,N
39110,86735,N
39111,86736,N
39112,86737,N
39113,86738,N
39114,86739,N
39115,86740,N
39116,86741,N
39117,86742,N
39118,86743,N
39119,86744,N
39120,86745,N
39121,86746,N
39122,86747,N
39123,86748,N
39124,86749,N
39126,86751,N
39127,86752,N
39128,86753,N
39129,86754,N
39130,86755,N
39131,86756,N
39132,86757,N
39133,86758,N
39135,86760,N
39136,86761,N
39138,86763,N
39139,86764,N
39140,86765,N
39141,86766,N
39143,86768,N
39144,86769,N
39145,86770,N
39146,86771,N
39147,86772,N
39148,86773,N
39149,86774,N
39152,86777,N
39153,86778,N
39158,86783,N
39159,86784,N
39160,86785,N
39162,86787,N
39163,86788,N
39169,86794,N
39170,86795,N
39171,86796,N
39172,86797,N
39174,86799,N
39175,86800,N
39176,86801,N
39177,86802,N
39180,86805,N
39181,86806,N
39182,86807,N
39184,86809,N
39186,86811,N
39188,86813,N
39189,86814,N
39190,86815,N
39191,86816,N
39195,86820,N
39197,86822,N
39199,86824,N
39200,86825,N
39201,86826,N
39203,86828,N
39204,86829,N
39205,86830,N
39206,86831,N
39207,86832,N
39210,86835,N
39211,86836,N
39212,86837,N
39213,86838,N
39215,86840,N
39216,86841,N
39217,86842,N
39218,86843,N
39219,86844,N
39220,86845,N
39221,86846,N
39222,86847,N
39223,86848,N
39225,86850,N
39227,86852,N
39228,86853,N
39229,86854,N
39230,86855,N
39231,86856,N
39233,86858,N
39234,86859,N
39235,86860,N
39239,86864,N
39240,86865,N
39241,86866,N
39242,86867,N
39243,86868,N
39245,86870,N
39246,86871,N
39247,86872,N
39248,86873,N
39249,86874,N
39250,86875,N
39252,86877,N
39253,86878,N
39254,86879,N
39255,86880,N
39256,86881,N
39258,86883,N
39261,86886,N
39262,86887,N
39263,86888,N
39264,86889,N
39265,86890,N
39266,86891,N
39267,86892,N
39268,86893,N
39269,86894,N
39271,86896,N
39272,86897,N
39273,86898,N
39274,86899,N
39275,86900,N
39276,86901,N
39277,86902,N
39278,86903,N
39279,86904,N
39280,86905,N
39281,86906,N
39282,86907,N
39283,86908,N
39284,86909,N
39285,86910,N
39286,86911,N
39287,86912,N
39288,86913,N
39289,86914,N
39290,86915,N
39291,86916,N
39292,86917,N
39293,86918,N
39294,86919,N
39296,86921,N
39297,86922,N
39298,86923,N
39299,86924,N
39300,86925,N
39301,86926,N
39302,86927,N
39303,86928,N
39304,86929,N
